review,sentiment
"I love this phone, it’s perfect!",positive
"Horrible experience, not recommended.",negative
"It’s okay, works fine.",neutral
"Great quality and fast delivery.",positive
"Terrible, battery died in 2 days.",negative
"Average performance, not too bad.",neutral
"Excellent product! Highly satisfied.",positive
"Not worth the price.",negative
"Just fine for basic use.",neutral
"Absolutely amazing service!",positive
"Very disappointed with this.",negative
"Meh, nothing special.",neutral
"Top notch, exceeded expectations.",positive
"Stopped working after a week.",negative
"Fine for the price range.",neutral
"Super fast and smooth!",positive
"Faulty item sent, very poor.",negative
"Nothing to complain about.",neutral
"Really happy with my purchase.",positive
"Low quality, regret buying.",negative
"Neutral opinion overall.",neutral
"This product is awesome!",positive
"Worst customer support ever.",negative
"It’s acceptable.",neutral
"Loved it!",positive
"Would not buy again.",negative
"Meets expectations.",neutral
"Truly a great experience.",positive
"Complete waste of money.",negative
"Not good, not bad.",neutral